"filename", "language", "CMake", "C++", "Markdown", "JSON", "comment", "blank", "total"
"d:\qtproject\FeiQ2\setting\personalInfo.json", "JSON", 0, 0, 0, 12, 0, 0, 12
"d:\qtproject\FeiQ2\setting\systemSetting.json", "JSON", 0, 0, 0, 6, 0, 0, 6
"d:\qtproject\FeiQ2\test\BoostAsio\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\test\BoostAsio\test.cpp", "C++", 0, 125, 0, 0, 13, 17, 155
"d:\qtproject\FeiQ2\test\BoostUdp\CMakeLists.txt", "CMake", 5, 0, 0, 0, 8, 3, 16
"d:\qtproject\FeiQ2\test\BoostUdp\test.cpp", "C++", 0, 91, 0, 0, 9, 21, 121
"d:\qtproject\FeiQ2\test\CMakeLists.txt", "CMake", 23, 0, 0, 0, 9, 5, 37
"d:\qtproject\FeiQ2\test\GetLocalName\test.cpp", "C++", 0, 23, 0, 0, 2, 3, 28
"d:\qtproject\FeiQ2\test\GetLocalNet\CMakeLists.txt", "CMake", 9, 0, 0, 0, 1, 0, 10
"d:\qtproject\FeiQ2\test\GetLocalNet\test.cpp", "C++", 0, 150, 0, 0, 54, 19, 223
"d:\qtproject\FeiQ2\test\OpenSSLtest\CMakeLists.txt", "CMake", 17, 0, 0, 0, 3, 4, 24
"d:\qtproject\FeiQ2\test\OpenSSLtest\test.cpp", "C++", 0, 122, 0, 0, 26, 33, 181
"d:\qtproject\FeiQ2\test\OpenSSLtest\说明.md", "Markdown", 0, 0, 52, 0, 0, 44, 96
"d:\qtproject\FeiQ2\test\SqlLite\CMakeLists.txt", "CMake", 6, 0, 0, 0, 1, 3, 10
"d:\qtproject\FeiQ2\test\SqlLite\test.cpp", "C++", 0, 6, 0, 0, 0, 3, 9
"d:\qtproject\FeiQ2\test\boostFilesystem\main.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\test\front\CMakeLists.txt", "CMake", 15, 0, 0, 0, 3, 2, 20
"d:\qtproject\FeiQ2\test\jsonCpp\CMakeLists.txt", "CMake", 11, 0, 0, 0, 3, 3, 17
"d:\qtproject\FeiQ2\test\jsonCpp\test.cpp", "C++", 0, 53, 0, 0, 4, 11, 68
"d:\qtproject\FeiQ2\test\jsonCpp\test_json.json", "JSON", 0, 0, 0, 13, 0, 0, 13
"d:\qtproject\FeiQ2\test\zlib\CMakeLists.txt", "CMake", 19, 0, 0, 0, 1, 7, 27
"d:\qtproject\FeiQ2\test\zlib\test.cpp", "C++", 0, 71, 0, 0, 7, 16, 94
"Total", "-", 173, 4566, 52, 48, 899, 937, 6675
